Employee_1D,city,gender,HR Analytics,University Grade,education_level,Has HR expereince,experience,Job changes,Training hours,company_size,Get HR Analytics Job? 
102238,city_41,Male,Has relevent experience,Grade 2,Graduate,Yes,9,1,98,<10,No
102304,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,5,1,8,,Yes
102391,city_21,Male,No relevent experience,Grade 1,High School,Yes,<1,never,86,,Yes
102452,city_13,Male,Has relevent experience,Grade 2,Masters,Yes,11,1,69,1-10,Yes
102508,city_103,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,97,10000+,Yes
102596,city_23,Male,No relevent experience,Grade 2,Masters,Yes,10,2,51,,Yes
102618,city_21,,Has relevent experience,Grade 3,Graduate,Yes,<1,1,114,100-500,Yes
102678,city_160,Female,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,67,,Yes
102702,city_173,Male,Has relevent experience,Grade 2,Graduate,Yes,14,4,105,,Yes
102730,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,3,1,1,50-99,Yes
102762,city_103,Male,Has relevent experience,Grade 2,Masters,Yes,>20,>4,0,,No
102856,city_90,Male,Has relevent experience,Grade 3,Graduate,Yes,20,2,109,1-10,Yes
102857,city_46,Male,Has relevent experience,Grade 3,Graduate,Yes,8,never,79,100-500,Yes
102862,city_98,,Has relevent experience,Grade 3,Masters,Yes,4,1,148,100-500,Yes
102911,city_103,,No relevent experience,Grade 3,Graduate,Yes,5,never,5,,Yes
103008,city_21,,Has relevent experience,Grade 1,Graduate,Yes,13,1,121,1000-4999,Yes
103012,city_21,Male,Has relevent experience,Grade 3,Masters,Yes,4,1,39,100-500,Yes
103038,city_13,Male,Has relevent experience,Grade 3,Masters,Yes,2,1,23,50-99,No
103077,city_21,,Has relevent experience,Grade 3,Graduate,Yes,6,4,120,,Yes
103172,city_21,Male,No relevent experience,Grade 3,,Yes,2,never,90,,Yes
103215,city_103,,No relevent experience,Grade 3,Graduate,Yes,2,never,82,,No
103256,city_103,,Has relevent experience,Grade 1,Graduate,Yes,7,1,135,10000+,Yes
103315,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,6,3,59,1000-4999,Yes
103389,city_103,Male,No relevent experience,Grade 3,Graduate,No,1,1,150,,Yes
103440,city_118,Male,Has relevent experience,Grade 3,Graduate,No,19,>4,70,100-500,No
103489,city_103,Female,Has relevent experience,Grade 3,Graduate,Yes,15,>4,21,,Yes
103522,city_114,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,10,50-99,Yes
103560,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,6,1,99,,No
103623,city_134,,Has relevent experience,Grade 3,Masters,Yes,16,1,89,,Yes
103710,city_21,,Has relevent experience,Grade 3,Graduate,Yes,3,,,1-10,Yes
103721,city_73,,Has relevent experience,Grade 2,Graduate,Yes,5,1,,50-99,No
103812,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,5,1,,,Yes
103881,city_116,,Has relevent experience,Grade 3,,Yes,,never,,50-99,Yes
103897,city_21,Male,Has relevent experience,Grade 3,Graduate,Yes,7,4,,10000+,No
103979,city_16,Male,Has relevent experience,Grade 1,Masters,Yes,>20,>4,,50-99,Yes
104042,city_165,,Has relevent experience,Grade 3,Masters,Yes,17,>4,,50-99,No
104104,city_103,Male,Has relevent experience,Grade 1,Graduate,Yes,>20,>4,,100-500,Yes
104133,city_61,Male,Has relevent experience,Grade 2,Graduate,Yes,>20,>4,,10000+,Yes
104145,city_21,,No relevent experience,Grade 1,Masters,Yes,<1,1,,1-10,No
104178,city_136,Male,Has relevent experience,Grade 3,Masters,Yes,>20,1,,<10,No
104211,city_45,Male,Has relevent experience,Grade 2,Masters,Yes,13,1,,,Yes
104265,city_103,Female,Has relevent experience,Grade 2,Graduate,Yes,4,1,,50-99,Yes
104267,city_160,Male,Has relevent experience,Grade 3,Graduate,Yes,16,4,,100-500,No
104274,city_104,Male,Has relevent experience,Grade 3,Graduate,Yes,>20,2,,50-99,No
104342,city_103,Male,No relevent experience,Grade 3,Graduate,Yes,1,1,,,No
104353,city_21,Male,Has relevent experience,Grade 2,Masters,Yes,5,1,,100-500,Yes
